loss,params,iteration,estimators,train_time
2.05557230933674,"{'boosting_type': 'dart', 'colsample_bytree': 0.7047420290534994, 'learning_rate': 0.10196649317697637, 'min_child_samples': 150, 'num_leaves': 50, 'reg_alpha': 0.43178038881584185, 'reg_lambda': 0.5373227914527653, 'subsample_for_bin': 100000, 'subsample': 0.7017160221184857}",77,47,5.755382966977777

2.0626462795227622,"{'boosting_type': 'dart', 'colsample_bytree': 0.6852953802210624, 'learning_rate': 0.11445324768911237, 'min_child_samples': 100, 'num_leaves': 38, 'reg_alpha': 0.23925124562085384, 'reg_lambda': 0.76817088265237, 'subsample_for_bin': 40000, 'subsample': 0.6778543535649747}",78,115,12.37460737201036

2.232763749585263,"{'boosting_type': 'goss', 'colsample_bytree': 0.6009153675779597, 'learning_rate': 0.04664760641309282, 'min_child_samples': 175, 'num_leaves': 44, 'reg_alpha': 0.1705283344981919, 'reg_lambda': 0.4895558670904645, 'subsample_for_bin': 100000, 'subsample': 1.0}",79,21,1.3972626000177115

2.0532842949230146,"{'boosting_type': 'dart', 'colsample_bytree': 0.7216211269939008, 'learning_rate': 0.05919248440957404, 'min_child_samples': 275, 'num_leaves': 68, 'reg_alpha': 0.30138725773591024, 'reg_lambda': 0.9606429900962827, 'subsample_for_bin': 20000, 'subsample': 0.7250254357789648}",80,245,9.443534538993845

2.051677765994286,"{'boosting_type': 'dart', 'colsample_bytree': 0.6660949672911772, 'learning_rate': 0.09462891068853822, 'min_child_samples': 240, 'num_leaves': 75, 'reg_alpha': 0.559713973399427, 'reg_lambda': 0.5742409488105567, 'subsample_for_bin': 120000, 'subsample': 0.6502735729946886}",81,170,7.550576213019667

2.0773835935767893,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6500696971830061, 'learning_rate': 0.07217294003514252, 'min_child_samples': 125, 'num_leaves': 31, 'reg_alpha': 0.12591749351711898, 'reg_lambda': 0.7263592427946921, 'subsample_for_bin': 40000, 'subsample': 0.9224491694580201}",82,60,6.8078945049783215

2.0598506614912084,"{'boosting_type': 'dart', 'colsample_bytree': 0.6754689350674171, 'learning_rate': 0.1762372766784513, 'min_child_samples': 320, 'num_leaves': 50, 'reg_alpha': 0.04520570089122837, 'reg_lambda': 0.6175143122784614, 'subsample_for_bin': 60000, 'subsample': 0.9670588532550274}",83,47,2.957498878997285

